Frame,Boundary,Phase,Speed,GammaFreq,GammaAmp,MasterFreq,PosX,PosY,PosZ,ThetaBeta,ThetaGamma,ThetaZeta,ThetaPsi,ThetaPhi
229,,0.011305,2.000000,7.100000,66.000000,7.100000,-0.327309,2.976400,6.340012,3.820572,67.782605,3.744133,13.566928,-33.545137
230,,0.012821,2.000000,7.100000,66.000000,7.100000,-0.329595,2.977070,6.341885,4.326969,65.496588,4.193741,13.030188,-32.613636
231,,0.014336,2.000000,7.100000,66.000000,7.100000,-0.331881,2.977740,6.343757,4.831247,62.957122,4.624197,12.433940,-31.578859
232,,0.015851,2.000000,7.100000,66.000000,7.100000,-0.334169,2.978410,6.345628,5.333159,60.175806,5.033534,11.780908,-30.445534
305,,0.126457,2.000000,7.100000,66.000000,7.100000,-0.503231,3.026755,6.479837,22.364120,62.864672,-4.638753,12.412233,-31.541188
306,,0.127972,2.000000,7.100000,66.000000,7.100000,-0.505575,3.027410,6.481643,22.218438,65.412723,-4.208997,13.010497,-32.579463
307,,0.129487,2.000000,7.100000,66.000000,7.100000,-0.507920,3.028066,6.483447,22.061876,67.707709,-3.760019,13.549343,-33.514619
308,,0.131002,2.000000,7.100000,66.000000,7.100000,-0.510265,3.028721,6.485251,21.894511,69.739148,-3.293869,14.026310,-34.342386
309,,0.132517,2.000000,7.100000,66.000000,7.100000,-0.512611,3.029377,6.487053,21.716425,71.497764,-2.812677,14.439219,-35.058983
310,,0.134033,2.000000,7.100000,66.000000,7.100000,-0.514957,3.030032,6.488855,21.527706,72.975524,-2.318639,14.786187,-35.661137
311,,0.135548,2.000000,7.100000,66.000000,7.100000,-0.517305,3.030687,6.490656,21.328446,74.165680,-1.814012,15.065627,-36.146100
312,,0.137063,2.000000,7.100000,66.000000,7.100000,-0.519653,3.031341,6.492456,21.118741,75.062797,-1.301101,15.276263,-36.511655
313,,0.138578,2.000000,7.100000,66.000000,7.100000,-0.522002,3.031996,6.494256,20.898696,75.662778,-0.782247,15.417134,-36.756134
314,,0.140093,2.000000,7.100000,66.000000,7.100000,-0.524352,3.032650,6.496054,20.668418,75.962882,-0.259821,15.487596,-36.878420
315,YES,0.000763,2.000000,7.550000,70.500000,7.550000,-0.526702,3.033305,6.497851,0.431344,95.918105,0.436159,19.974254,-44.954945
316,,0.002278,2.000000,7.550000,70.500000,7.550000,-0.529053,3.033960,6.499647,0.824029,80.088587,0.862791,15.902629,-37.630768
317,,0.003794,2.000000,7.550000,70.500000,7.550000,-0.531405,3.034614,6.501443,1.371518,79.361458,1.431578,15.737648,-37.344114
